song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Like a Virgin,Madonna,1ZPlNanZsJSPK5h9YZZFbZ,73,0.771,0.655,3,-10.842,0,0.0372,0.152,0.00197,0.0685,0.97,119.747,audio_features,1ZPlNanZsJSPK5h9YZZFbZ,spotify:track:1ZPlNanZsJSPK5h9YZZFbZ,https://api.spotify.com/v1/tracks/1ZPlNanZsJSPK5h9YZZFbZ,https://api.spotify.com/v1/audio-analysis/1ZPlNanZsJSPK5h9YZZFbZ,218627,4
Good Vibrations - Remastered 2001,The Beach Boys,5t9KYe0Fhd5cW6UYT4qP8f,70,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,audio_features,5t9KYe0Fhd5cW6UYT4qP8f,spotify:track:5t9KYe0Fhd5cW6UYT4qP8f,https://api.spotify.com/v1/tracks/5t9KYe0Fhd5cW6UYT4qP8f,https://api.spotify.com/v1/audio-analysis/5t9KYe0Fhd5cW6UYT4qP8f,219027,4
Knockin' On Heaven's Door,Bob Dylan,6HSXNV0b4M4cLJ7ljgVVeh,77,0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,audio_features,6HSXNV0b4M4cLJ7ljgVVeh,spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,https://api.spotify.com/v1/tracks/6HSXNV0b4M4cLJ7ljgVVeh,https://api.spotify.com/v1/audio-analysis/6HSXNV0b4M4cLJ7ljgVVeh,149880,4
Hotel California - 2013 Remaster,Eagles,40riOy7x9W7GXjyGp4pjAv,84,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4
Careless Whisper,George Michael,2R7858bg0GHuBBxjTyOL7N,59,0.583,0.545,2,-11.698,0,0.0351,0.232,0.0,0.133,0.801,153.249,audio_features,2R7858bg0GHuBBxjTyOL7N,spotify:track:2R7858bg0GHuBBxjTyOL7N,https://api.spotify.com/v1/tracks/2R7858bg0GHuBBxjTyOL7N,https://api.spotify.com/v1/audio-analysis/2R7858bg0GHuBBxjTyOL7N,302600,4
I Still Haven't Found What I'm Looking For - Remastered 2007,U2,7gozgbG5EBTukCFWToTRA5,0,0.565,0.764,1,-9.43,1,0.0351,0.0139,0.00488,0.079,0.686,100.891,audio_features,7gozgbG5EBTukCFWToTRA5,spotify:track:7gozgbG5EBTukCFWToTRA5,https://api.spotify.com/v1/tracks/7gozgbG5EBTukCFWToTRA5,https://api.spotify.com/v1/audio-analysis/7gozgbG5EBTukCFWToTRA5,277480,4
Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr,76,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,audio_features,7s25THrKz86DM225dOYwnr,spotify:track:7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/tracks/7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/audio-analysis/7s25THrKz86DM225dOYwnr,147600,4
I Will Always Love You,Whitney Houston,4eHbdreAnSOrDDsFfc4Fpm,78,0.332,0.214,4,-12.518,1,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,audio_features,4eHbdreAnSOrDDsFfc4Fpm,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/tracks/4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/audio-analysis/4eHbdreAnSOrDDsFfc4Fpm,271093,4
Somebody That I Used To Know,Gotye,1qk9ujVgudgU8CyhKOx8ji,64,0.864,0.515,0,-6.967,1,0.0367,0.571,7.92e-05,0.0947,0.755,129.048,audio_features,1qk9ujVgudgU8CyhKOx8ji,spotify:track:1qk9ujVgudgU8CyhKOx8ji,https://api.spotify.com/v1/tracks/1qk9ujVgudgU8CyhKOx8ji,https://api.spotify.com/v1/audio-analysis/1qk9ujVgudgU8CyhKOx8ji,244893,4
Somebody That I Used To Know,Kimbra,1qk9ujVgudgU8CyhKOx8ji,64,0.864,0.515,0,-6.967,1,0.0367,0.571,7.92e-05,0.0947,0.755,129.048,audio_features,1qk9ujVgudgU8CyhKOx8ji,spotify:track:1qk9ujVgudgU8CyhKOx8ji,https://api.spotify.com/v1/tracks/1qk9ujVgudgU8CyhKOx8ji,https://api.spotify.com/v1/audio-analysis/1qk9ujVgudgU8CyhKOx8ji,244893,4
Smoke On The Water - Remastered 2012,Deep Purple,5MMnwYs0hIxkENRsbkWJ2G,72,0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,audio_features,5MMnwYs0hIxkENRsbkWJ2G,spotify:track:5MMnwYs0hIxkENRsbkWJ2G,https://api.spotify.com/v1/tracks/5MMnwYs0hIxkENRsbkWJ2G,https://api.spotify.com/v1/audio-analysis/5MMnwYs0hIxkENRsbkWJ2G,340742,4
Better Be Home Soon,Crowded House,4zVyMSnXjxM734u4SQTqVx,42,0.445,0.49,0,-8.809,1,0.0264,0.301,1.43e-06,0.0964,0.342,93.611,audio_features,4zVyMSnXjxM734u4SQTqVx,spotify:track:4zVyMSnXjxM734u4SQTqVx,https://api.spotify.com/v1/tracks/4zVyMSnXjxM734u4SQTqVx,https://api.spotify.com/v1/audio-analysis/4zVyMSnXjxM734u4SQTqVx,188050,4
Light My Fire - 2017 Remaster,The Doors,6l8BhUGXyQWFGWJY5tohDC,38,0.407,0.565,3,-11.487,0,0.0322,0.361,0.000142,0.105,0.502,125.096,audio_features,6l8BhUGXyQWFGWJY5tohDC,spotify:track:6l8BhUGXyQWFGWJY5tohDC,https://api.spotify.com/v1/tracks/6l8BhUGXyQWFGWJY5tohDC,https://api.spotify.com/v1/audio-analysis/6l8BhUGXyQWFGWJY5tohDC,430453,4
